pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,inning_topbot,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,pitch_number,pitch_name,spin_axis
FC,7/6/2021,89.2,-1.81,6.09,"Ohtani, Shohei",593428,660271,,swinging_strike,9,"Xander Bogaerts grounds out, pitcher Shohei Ohtani to first baseman Jared Walsh.",R,R,S,,,1,0,2021,0.2,0.32,0.41,1.74,2,1,Top,5.093570009,-129.8232364,-5.367649659,1.104502194,28.00080685,-27.60751822,3.47,1.59,89.8,2195,6.7,633370,53.78,2,Cutter,188
FF,7/6/2021,95,-1.71,6.14,"Ohtani, Shohei",593428,660271,,ball,9,"Xander Bogaerts grounds out, pitcher Shohei Ohtani to first baseman Jared Walsh.",R,R,B,,,0,0,2021,-0.21,1.38,0.49,1.55,2,1,Top,6.287445428,-137.9113837,-9.469907334,-4.059473905,31.54169938,-12.65218934,3.51,1.62,95.6,2128,6.8,633370,53.67,1,4-Seam Fastball,205
FS,7/6/2021,88.9,-1.65,6.35,"Ohtani, Shohei",502110,660271,sac_fly,hit_into_play,4,J.D. Martinez out on a sacrifice fly to left fielder Phil Gosselin.   Enrique Hernandez scores.,R,R,X,7,fly_ball,1,2,2021,-0.56,0.05,-0.65,2.67,1,1,Top,3.653540294,-129.4312562,-3.106297908,-7.052179461,27.01624247,-31.1961819,3.49,1.6,89.6,1090,6.7,633370,53.82,5,Split-Finger,227
FF,7/6/2021,97.4,-1.68,6.13,"Ohtani, Shohei",502110,660271,,foul,1,J.D. Martinez out on a sacrifice fly to left fielder Phil Gosselin.   Enrique Hernandez scores.,R,R,S,,,1,2,2021,-0.31,1.36,-0.56,3.32,1,1,Top,3.7583192,-141.7593586,-5.227013047,-4.952198001,30.979903,-12.78906716,3.49,1.6,98.4,2219,6.7,633370,53.76,4,4-Seam Fastball,208
SL,7/6/2021,82.6,-1.99,5.98,"Ohtani, Shohei",502110,660271,,swinging_strike,1,J.D. Martinez out on a sacrifice fly to left fielder Phil Gosselin.   Enrique Hernandez scores.,R,R,S,,,1,1,2021,0.99,0.53,-0.7,3.12,1,1,Top,1.017822607,-120.3759358,-1.098341373,9.485821849,22.09439549,-27.02924445,3.49,1.6,83.6,2222,6.7,633370,53.75,3,Slider,75
FF,7/6/2021,95.9,-1.74,6.15,"Ohtani, Shohei",502110,660271,,foul,11,J.D. Martinez out on a sacrifice fly to left fielder Phil Gosselin.   Enrique Hernandez scores.,R,R,S,,,1,0,2021,-0.12,1.31,-0.04,3.86,1,1,Top,4.801064945,-139.5720581,-3.443162302,-2.571583535,30.99491882,-14.47202517,3.49,1.6,97,2208,6.9,633370,53.63,2,4-Seam Fastball,202
SL,7/6/2021,81.6,-1.97,6.03,"Ohtani, Shohei",502110,660271,,ball,12,J.D. Martinez out on a sacrifice fly to left fielder Phil Gosselin.   Enrique Hernandez scores.,R,R,B,,,0,0,2021,1.09,0.63,0.05,4.25,1,1,Top,2.469150633,-118.8739572,1.376186012,9.879602277,22.49951577,-26.67421705,3.62,1.71,82.5,2350,6.8,633370,53.73,1,Slider,76
FS,7/6/2021,86.6,-1.61,6.18,"Ohtani, Shohei",657077,660271,field_out,hit_into_play,5,Alex Verdugo grounds out to first baseman Jared Walsh.   Enrique Hernandez to 3rd.,L,R,X,3,ground_ball,0,1,2021,-0.4,-0.05,-0.18,2.29,0,1,Top,4.28132671,-126.0533568,-3.029524073,-5.105726486,25.31297479,-32.27373746,3.37,1.53,87.7,1284,7,633370,53.53,2,Split-Finger,234
FF,7/6/2021,95.4,-1.94,6.09,"Ohtani, Shohei",657077,660271,,foul,12,Alex Verdugo grounds out to first baseman Jared Walsh.   Enrique Hernandez to 3rd.,L,R,S,,,0,0,2021,-0.35,1.31,0.18,3.55,0,1,Top,6.43647295,-138.8492791,-4.023371464,-6.016229288,31.67752183,-14.57703636,3.37,1.53,96.3,2212,6.8,633370,53.67,1,4-Seam Fastball,202
FF,7/6/2021,95.8,-1.67,6.1,"Ohtani, Shohei",571771,660271,double,hit_into_play,8,Enrique Hernandez doubles (18) on a line drive to right fielder Taylor Ward.,R,R,X,9,line_drive,1,1,2021,-0.64,1.34,-0.14,1.8,0,1,Top,5.567329534,-139.1754608,-8.846336088,-9.635259409,32.09633967,-12.88908221,3.32,1.51,96.7,2200,6.9,633370,53.56,3,4-Seam Fastball,207
FF,7/6/2021,94.5,-1.46,6.15,"Ohtani, Shohei",571771,660271,,foul,1,Enrique Hernandez doubles (18) on a line drive to right fielder Taylor Ward.,R,R,S,,,1,0,2021,-0.57,1.34,-0.75,3.4,0,1,Top,3.168369777,-137.5112537,-4.506439548,-7.936306369,31.31731334,-14.33576897,3.32,1.51,95.4,2121,6.9,633370,53.6,2,4-Seam Fastball,207
FF,7/6/2021,94.4,-1.73,6.21,"Ohtani, Shohei",571771,660271,,ball,11,Enrique Hernandez doubles (18) on a line drive to right fielder Taylor Ward.,R,R,B,,,0,0,2021,-0.57,1.34,-1.77,3.18,0,1,Top,1.148199918,-137.4227277,-5.225557867,-7.422046729,30.61629325,-14.19012355,3.4,1.65,95.3,2080,6.8,633370,53.68,1,4-Seam Fastball,205
